公司名稱,工作職稱,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件,公司福利,聯絡人,聯絡方式,連結路徑
社團法人桃園市智障者家長協會,協會社工,"1、會員個案管理-身心障礙福利服務諮詢及資訊提供。
2、心智障礙者家庭支持服務方案-方案撰寫、協助活動辦理及講座、支持團體
3、配合定期個督與團督
4、出席相關聯繫會報及轉銜會議
5、配合政府單位及民間單位的社區宣導
6、一般行政庶務及其他主管交辦事項","['社工人員', '社會／人類學研究人員']","月薪30,000~35,000元",全職,桃園市桃園區延壽街143巷12號1樓,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1~2人,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,大學,社會學相關、其他經社心理相關,不拘,不拘,不拘,"1.社工相關系所畢業、具應考社工師資格
2.具機車駕照並能實際上路
3.具電腦文書處理能力(word/excel/powerpoint〉","1.勞健保、提撥6%勞退依法規規定
2.獎金(中秋/端午/年終) 
3.週休二日(依人事行政局規定)",社團法人桃園市智障者家長協會,無,https://www.104.com.tw/job/6txht?jobsource=2018indexpoc
國際撲克競技協會,＜國際撲克競技協會＞服務人員,"1.管理 / 處理協會會員與協會活動相關事宜 
 2.協會內部佈置及場地環境整理  
3.負責協辦主管交代事項 
4.德州撲克相關國際賽事規則及荷官工作   
5.彈性工時",['其他娛樂事業人員'],時薪160~300元,兼職 - 長期工讀、短期工讀,台北市松山區(依照公司規定分派),無,無,晚班/大夜班/假日班,依公司規定,一個月內,2~3人,"['上班族', '應屆畢業生', '日間就讀中', '夜間就讀中', '研發替代役', '外籍人士', '原住民', '二度就業']",不拘,專科以上,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘,不拘,休假制度：週休二日/排休/輪休/固定休六、日,"勞保、健保、加班費、年假
獎 金 類：年節獎金、年終獎金、激勵獎金、績效獎金
餐 飲 類：伙食津貼
交 通 類：上下班車資補助
娛 樂 類：國內旅遊、員工定期聚餐、尾牙
其 　他：需穿著員工制服、員工在職教育訓練、良好升遷制度",曾先生,無,https://www.104.com.tw/job/66pzx?jobsource=2018indexpoc
國際撲克競技協會,＜國際撲克競技協會＞服務人員,"1.管理 / 處理協會會員與協會活動相關事宜 
 2.協會內部佈置及場地環境整理  
3.負責協辦主管交代事項 
4.德州撲克相關國際賽事規則及荷官工作  
5.月休八天","['其他娛樂事業人員', '店長／賣場管理人員', '門市／店員／專櫃人員']","月薪36,000~50,000元",全職,台北市松山區(依照公司規定分派),不需負擔管理責任,無需出差外派,晚班，18:00~03:00,依公司規定,一個月內,2~3人,"['上班族', '應屆畢業生', '外籍人士', '原住民', '二度就業']",不拘,專科以上,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘,休假制度：排休,"勞保、健保、加班費、年假
獎 金 類：年節獎金、年終獎金、激勵獎金、績效獎金
餐 飲 類：伙食津貼
交 通 類：上下班車資補助
娛 樂 類：國內旅遊、員工定期聚餐、尾牙
其 　他：需穿著員工制服、員工在職教育訓練、良好升遷制度",曾先生,無,https://www.104.com.tw/job/66pzw?jobsource=2018indexpoc
中華民國資訊軟體協會,行政專員,"1.協助處理業務單位專案費用報銷作業
2.專案報銷缺件及補件處理
3.整理專案憑證及報表
4.整理專案資料
5.專案系統資料維護
6.協助處理專案帳務相關問題
7.主管交辦事項","['行政人員', '資料輸入人員', '行銷企劃助理']","月薪32,000~38,000元",全職,台北市大同區承德路二段239號六樓,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,2人,['上班族'],3年以上,大學,企業管理相關、會計學相關、一般商業學類,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Excel、Outlook、PowerPoint、Word、正航,帳務查核與會計稽查、會計核算和帳務處理,擅於溝通協調者佳,"◆ 獎金 / 禮品類
　 1.年終獎金
　 2.三節禮金/禮品
　 3.生日禮金/禮品
◆ 保險類
　 1.勞保
　 2.健保
　 3.員工團保
　 4.職災保險
◆ 休閒類
　 1.國內旅遊
　 2.國外旅遊
　 3.部門聚餐
　 4.慶生會
　 5.社團活動
◆ 制度類
　 1.伙食費
　 2.介紹獎金
　 3.完整的教育訓練
　 4.順暢的升遷管道
◆ 請 / 休假制度
　 1.週休二日
　 2.特休/年假
　 3.陪產假
　 4.女性同仁生理假
　 5.育嬰留職停薪假
◆ 補助類
　 1.結婚禮金
　 2.生育津貼
　 3.員工教育獎助學金
　 4.旅遊補助
　 5.住院慰問金
　 6.退職金提撥",杜小姐,無,https://www.104.com.tw/job/6tp02?jobsource=2018indexpoc
中華民國資訊軟體協會,出納專員,"1.辦理銀行業務(存取匯款、支票、定存單、保證金設解質、換匯等作業) 
2.發票、收據開立及立沖帳作業
3.零用金撥補及傳票作業
4.應收、預收帳務跟催收處理及沖銷帳、核帳作業
5.廠商款或費用等應付款項帳務處理
6.營業稅申報作業 
7.其他主管交辦事項",['記帳／出納／一般會計'],"月薪30,000~35,000元",全職,台北市大同區承德路二段239號六樓,不需負擔管理責任,無需出差外派,日班,週休二日,一個月內,1人,['上班族'],2年以上,大學,不拘,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Excel、Outlook、PowerPoint、Word、正航,稅務業務處理、會計或審計專業知識,擅於溝通協調者佳,"◆ 獎金 / 禮品類
　 1.年終獎金
　 2.三節禮金/禮品
　 3.生日禮金/禮品
◆ 保險類
　 1.勞保
　 2.健保
　 3.員工團保
　 4.職災保險
◆ 休閒類
　 1.國內旅遊
　 2.國外旅遊
　 3.部門聚餐
　 4.慶生會
　 5.社團活動
◆ 制度類
　 1.伙食費
　 2.介紹獎金
　 3.完整的教育訓練
　 4.順暢的升遷管道
◆ 請 / 休假制度
　 1.週休二日
　 2.特休/年假
　 3.陪產假
　 4.女性同仁生理假
　 5.育嬰留職停薪假
◆ 補助類
　 1.結婚禮金
　 2.生育津貼
　 3.員工教育獎助學金
　 4.旅遊補助
　 5.住院慰問金
　 6.退職金提撥",杜小姐,無,https://www.104.com.tw/job/6onne?jobsource=2018indexpoc
社團法人雲林縣長期照護發展協會,護理之家護理師37000護士35000獎金夜班費另計,"長青護理之家護士:具護士或護理師証書、具呼吸照護病房RCW或呼吸照護中心RCC經驗佳, 小夜250/大夜500另計","['護理師及護士', '診所助理', '其他醫療人員']","月薪34,000~37,000元",全職,雲林縣崙背鄉大有村286號,不需負擔管理責任,無需出差外派,日班/晚班/大夜班/假日班，需輪班,依公司規定,不限,1人,['上班族'],1年以上,高中、專科,護理助產相關,台語 -- 中等,不拘,不拘,"小夜250/大夜500, 獎金另計",製服. 年節禮品 獎金. 長青員工宿舍.,楊小姐,longcare2000@yahoo.com.tw,https://www.104.com.tw/job/6i5ap?jobsource=2018indexpoc
社團法人台灣幼兒早期教育協會,臺北市新安非營利幼兒園（委託社團法人台灣幼兒早期教育協會辦理）-教保員,班級經營管理規劃、教學活動執行與記錄、教具教材設備之製作與管理、實施班級親師溝通職教育、情境佈置維護，定時維護班級內外清潔、其他主管交辦事項,"['幼教班老師', '教保員']","月薪32,000~33,000元",全職,台北市大安區臥龍街129號,不需負擔管理責任,無需出差外派,日班,依公司規定,可年後上班,1~5人,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,專科、大學,學前教育相關、其他教育相關、兒童保育相關,不拘,不拘,不拘,若具備幼兒園合格教師證更佳,無,林婉玲,無,https://www.104.com.tw/job/6mch5?jobsource=2018indexpoc
社團法人台灣幼兒早期教育協會,桃園市草漯非營利幼兒園（委託社團法人台灣幼兒早期教育協會辦理）-教保員,班級經營管理規劃、教學活動執行與記錄、教具教材設備之製作與管理、實施班級親師溝通職教育、情境佈置維護，定時維護班級內外清潔、其他主管交辦事項,"['幼教班老師', '教保員']","月薪32,000~33,000元",全職,桃園市觀音區新生路1462號,不需負擔管理責任,無需出差外派,日班,依公司規定,不限,1~5人,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,專科、大學,學前教育相關、其他教育相關、兒童保育相關,不拘,不拘,不拘,若具備幼兒園合格教師證更佳,無,林琬玲,無,https://www.104.com.tw/job/6kzb5?jobsource=2018indexpoc
社團法人雲林縣長期照護發展協會,養護中心護理師33000護士31000夜班獎金另計,"具護士或護理師証書;護士, 護理師,大夜500小夜250/天 , 獎金另計.","['護理師及護士', '診所助理', '其他醫療人員']",待遇面議 （經常性薪資達 4 萬元或以上）,全職,雲林縣斗六市府文路22號6樓,不需負擔管理責任,無需出差外派,日班/晚班/大夜班/假日班,依公司規定,兩週內,1人,"['上班族', '應屆畢業生', '中壯齡', '中高齡']",1年以上,高中以上,護理助產相關,不拘,不拘,不拘,"大夜500小夜250/天 , 獎金另計",製服. 年節禮品 獎金. 長青員工宿舍.,主任,longcare2000@yahoo.com.tw,https://www.104.com.tw/job/6i5aq?jobsource=2018indexpoc
社團法人雲林縣長期照護發展協會,養護中心看護,雲林縣身心障礙養護中心 看護，需具照服員受訓證書，學歷不拘。,"['教保員', '照顧服務員']","月薪30,000~31,000元",全職,雲林縣斗六市府文路22號6樓,不需負擔管理責任,需外派，一年累積時間未定,日班/晚班/大夜班/假日班，需輪班,依公司規定,不限,1人,"['上班族', '原住民', '二度就業']",不拘,高中以下,不拘,不拘,不拘,不拘,中華民國民,製服. 年節禮品 獎金. 長青員工宿舍.,賴主任,05-5334209,https://www.104.com.tw/job/6i5ar?jobsource=2018indexpoc
