公司名稱,工作職稱,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件,公司福利,聯絡人,聯絡方式,連結路徑
財團法人綠色和平基金會,綠色和平組織_台中募款與教育專員,"工作內容：
為環保工作募集經費。須在戶外工作，如在市區、街頭、捷運站附近等人群聚集的地點宣傳環保理念，為綠色和平招募捐款會員。為地球盡一份心力。
1. 上班8小時(含1小時休息用餐時間)
2. 周末需要排班
3. 固定周休二日
4. 有工作經驗者尤佳
5. 須能配合不定期在外縣市進行募款活動
福利制度
- 勞保 
- 健保 
- 勞退 
- 團保
- 享有優於勞基法的15天年假，到職未滿一年按比例計算
- 服務滿一個月，享有一個月2天有薪病假
- 通過試用期，享有每年員工健康檢查
6. 能接受有目標達成的壓力
待遇：
1. 試用期：月薪30,650元（工作表現良好，有額外獎勵）
2. 試用期滿：月薪32,750元（工作表現良好，有額外獎勵）

晉升與福利：依據工作表現提供晉升機會。並提供：
1. 15天的有薪年假，優於勞基法的帶假褔利
2. 全勤獎金
3. 鼓勵性質獎勵:票券、現金、活動折價券等..
4. 不定期員工聚會及活動
5. 完整內部教育訓練
6. Greenpeace 專屬制服
7. 用IPAD進行募款工作
8. 活潑的工作氛圍，彈性且暢通的溝通管道

招募方式：
請透過104投遞履歷


注意事項:
若不能配合周末及排班工作者,請勿投遞","['教育訓練人員', '國內業務人員', '顧問人員']","月薪30,000~32,000元",全職,台中市西區梅川西路一段66號,不需負擔管理責任,需出差，一年累積時間未定,日班/晚班/假日班，每日工作8小時,週休二日,一週內,不限,"['上班族', '應屆畢業生', '原住民', '二度就業']",不拘,高中、專科、大學、碩士,不拘,不拘,不拘,不拘,"其他條件：
1.	高中或專科以上學歷
2.	喜歡與人接觸，有正面、樂觀的個性，擅長溝通
3.	關心環境的未來，願意更深入了解環境保護相關的議題和知識
4.	有專業行銷經驗，或曾於非營利組織工作更佳","- 團體保險
- 年度健康檢查
- 不定期聚餐
- 員工發展計畫
- 服務滿一年，享有15天年假
- 服務滿一年，享有一個月2~4天有薪病假",周先生,本職務設定7個工作天回覆,https://www.104.com.tw/job/4eqsk?jobsource=hotjob_chr
財團法人忠義社會福利事業基金會,忠義基金會-執行秘書,"一、執行專案業務：推動基金會兒少福利園區專案執行
二、資源結合聯繫：發展服務資源網絡合作方案，結合、聯繫政府及社區資源
三、會務行政管理：兒少福利園區變更申請程序執行及進度掌控
四、服務方案創建：兒少服務方案撰寫及執行
五、主管臨時交辦業務","['經營管理主管', '社工人員']",待遇面議 （經常性薪資達 4 萬元或以上）,全職,台北市文山區景興路85巷12號(116),管理13人以上,需出差，一年累積時間未定,日班,依公司規定,可年後上班,1人,"['上班族', '原住民']",5年以上,大學以上,社會學相關,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,Excel、Outlook、PowerPoint、Word,不拘,"1.具5年以上兒少社福機構相關工作經驗者及有英文能力者佳。
2.限社工相關科系(社會工作、青少年兒童福利、社會福利相關科系畢業或取得其輔系證書者、具備社工師執照者尤佳)
3.具領導、組織、分析、活動企劃執行能力。
4.具團隊合作精神，個性積極有彈性，能獨立作業者, 具有熱情，責任感、樂於與人互動溝通合作。",基金會為所有工作人員投保全民健康保險、勞工保險，以及提撥員工勞退金。基金會並投保醫療及意外傷害團體保險、公共意外險、建築物火險、地震險，以保障全體員工的生命財產安全；員工享有端午節金、中秋節金、年終獎金、績效考核獎金、結婚禮金、生育禮金、喪葬慰問金、年度旅遊津貼、全勤獎金、年資津貼以及急難災害救助金等福利。基金會定期辦理員工身體健康檢查、員工職訓及紓壓活動，並於工作時間內提供員工膳食。,周小姐,無,https://www.104.com.tw/job/6uk55?jobsource=jolist_a_relevance
財團法人私立天主教中華聖母社會福利慈善事業基金會,副執行長(基金會),"1.長照業務推動。 
2.人力資源管理。 
3.NPO日常經營事項。 
4.其他主管交辦事項。 
5.應徵本職缺請先了解基金會服務內容，基金會網址http://www.solc.org.tw/ 
註：工作待遇欄位面議為大學以上具社會工作師證書薪資且通過考核","['經營管理高階主管', '行政總務高階主管', '人力資源高階主管']",待遇面議 （經常性薪資達 4 萬元或以上）,高階,嘉義市民權路60號,管理13人以上,無需出差外派,無,無,一個月內,1人,無,10年以上,大學,社會學相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Excel、Internet Explorer、Outlook、PowerPoint、Word,文書處理軟體操作,"1.必要特質： 
具備正直誠信、解決問題能力、團隊合作、持續學習、領導力、團隊建立與管理、溝通協調能力、執行力。 
2.曾任： 
社會工作或長照相關經驗10年以上。 
社會福利團體、基金會高階主管3年以上。 
3.大學以上社會工作、長期照護等相關科系畢業，研究所尤佳。 
4.經書面審核後擇優面試，不符合者，恕不另電話通知。","◆獎金禮金類 
1.年終獎金 2.業績獎勵金 3.績效獎金 4.考核獎金 5.久任獎金 6.三節禮金 7.生日禮金 8.結婚禮金 9.生育禮金 10.奠儀 11.春節值班禮金 12.旅遊代金 13.提案獎金 
◆保險類 
1.勞工保險 2.全民健康保險 3.團體保險(職災險、意外傷害、癌症醫療等商業保險) 4.勞工退休金提撥 
◆學術獎勵 
1.新進人員職前訓練 2.在職教育訓練 3.在職進修 4.員工培訓 5.論文獎勵金 6.教學費用補助 
◆請/休假 
1.週休二日 2.特休假 3.陪產假 4.家庭照顧假5.妊娠假 6.哺乳假 7.生理假 8.天然災害假 9.事假 10.病假 11.公假 12.婚假 13.產假 14.公傷假 15.喪假 16.留職停薪 17.育嬰留職停薪 18.原住民假 
◆補助類 
1.員工及眷屬就醫優待 2.退休員工就醫優待 3.員工定期健康檢查(免費) 4.新進人員體檢優惠 5.員工健康檢查優惠 6.員工宿舍優惠 7.員工餐廳用餐優惠 8.立體停車場停車費優惠 9.機車停車場(免費) 10.托兒(嬰)服務(托兒所、幼稚園、托嬰中心特約) 11.員工制服 
◆環境設備 
1.員工宿舍 2.員工餐廳 3.圖書館 4.哺乳室 5.籃球場 6.醫療服務專車 7.聖堂 8.桌球室 9.立體停車場 10.商店街 11.空中花園 12.國際會議廳 13.健康園區 14.有氧舞蹈空間 
◆休閒/育樂/關懷 
1.社團活動 2.特約商店 3.休閒藝文資訊 4.員工住院關懷 5.聖誕跨年晚會 6.資深員工表揚 7.多元健康促進活動 8.多元主題課程 9.員工身心靈關懷輔導與支持",彭先生,job@stm.org.tw,https://www.104.com.tw/job/6auqy?jobsource=jolist_a_relevance
財團法人私立天主教中華聖母社會福利慈善事業基金會,美工設計師(基金會),"1.業務宣傳設計發想、平面文宣品設計、網頁設計維護、拍攝平面動態宣傳、拍攝腳本規劃及動態影音攝影。
2.空間及場域識別設計。
3.勸募活動支援、刊物美編印製、文宣品資料記錄。
4.主管交辦事項。
5.應徵本職缺請先了解基金會服務內容，基金會網址http://www.solc.org.tw/

註：工作待遇欄位月薪為大學以上薪資且通過考核",['行政人員'],"月薪26,050元以上",全職,嘉義市民權路60號,不需負擔管理責任,無需出差外派,日班，08:00~17:00,依公司規定,一個月內,1人,"['上班族', '原住民']",不拘,大學,不拘,不拘,不拘,不拘,無,"◆獎金禮金類 
1.年終獎金 2.業績獎勵金 3.績效獎金 4.考核獎金 5.久任獎金 6.三節禮金 7.生日禮金 8.結婚禮金 9.生育禮金 10.奠儀 11.春節值班禮金 12.旅遊代金 13.提案獎金 
◆保險類 
1.勞工保險 2.全民健康保險 3.團體保險(職災險、意外傷害、癌症醫療等商業保險) 4.勞工退休金提撥 
◆學術獎勵 
1.新進人員職前訓練 2.在職教育訓練 3.在職進修 4.員工培訓 5.論文獎勵金 6.教學費用補助 
◆請/休假 
1.週休二日 2.特休假 3.陪產假 4.家庭照顧假5.妊娠假 6.哺乳假 7.生理假 8.天然災害假 9.事假 10.病假 11.公假 12.婚假 13.產假 14.公傷假 15.喪假 16.留職停薪 17.育嬰留職停薪 18.原住民假 
◆補助類 
1.員工及眷屬就醫優待 2.退休員工就醫優待 3.員工定期健康檢查(免費) 4.新進人員體檢優惠 5.員工健康檢查優惠 6.員工宿舍優惠 7.員工餐廳用餐優惠 8.立體停車場停車費優惠 9.機車停車場(免費) 10.托兒(嬰)服務(托兒所、幼稚園、托嬰中心特約) 11.員工制服 
◆環境設備 
1.員工宿舍 2.員工餐廳 3.圖書館 4.哺乳室 5.籃球場 6.醫療服務專車 7.聖堂 8.桌球室 9.立體停車場 10.商店街 11.空中花園 12.國際會議廳 13.健康園區 14.有氧舞蹈空間 
◆休閒/育樂/關懷 
1.社團活動 2.特約商店 3.休閒藝文資訊 4.員工住院關懷 5.聖誕跨年晚會 6.資深員工表揚 7.多元健康促進活動 8.多元主題課程 9.員工身心靈關懷輔導與支持",彭先生,job@stm.org.tw,https://www.104.com.tw/job/6wf25?jobsource=jolist_a_relevance
財團法人私立天主教中華聖母社會福利慈善事業基金會,美工專員(基金會),"1.業務宣傳設計發想、平面文宣品設計、網頁設計維護、拍攝平面動態宣傳、拍攝腳本規劃及動態影音攝影。
2.空間及場域識別設計。
3.勸募活動支援、刊物美編印製、文宣品資料記錄。
4.主管交辦事項。
5.應徵本職缺請先了解基金會服務內容，基金會網址http://www.solc.org.tw/

註：工作待遇欄位月薪為大學以上薪資且通過考核",['行政人員'],"月薪32,300元以上",全職,嘉義市民權路60號,不需負擔管理責任,無需出差外派,日班，08:00~17:00,依公司規定,一個月內,1人,"['上班族', '原住民']",3年以上,大學,不拘,不拘,不拘,不拘,無,"◆獎金禮金類 
1.年終獎金 2.業績獎勵金 3.績效獎金 4.考核獎金 5.久任獎金 6.三節禮金 7.生日禮金 8.結婚禮金 9.生育禮金 10.奠儀 11.春節值班禮金 12.旅遊代金 13.提案獎金 
◆保險類 
1.勞工保險 2.全民健康保險 3.團體保險(職災險、意外傷害、癌症醫療等商業保險) 4.勞工退休金提撥 
◆學術獎勵 
1.新進人員職前訓練 2.在職教育訓練 3.在職進修 4.員工培訓 5.論文獎勵金 6.教學費用補助 
◆請/休假 
1.週休二日 2.特休假 3.陪產假 4.家庭照顧假5.妊娠假 6.哺乳假 7.生理假 8.天然災害假 9.事假 10.病假 11.公假 12.婚假 13.產假 14.公傷假 15.喪假 16.留職停薪 17.育嬰留職停薪 18.原住民假 
◆補助類 
1.員工及眷屬就醫優待 2.退休員工就醫優待 3.員工定期健康檢查(免費) 4.新進人員體檢優惠 5.員工健康檢查優惠 6.員工宿舍優惠 7.員工餐廳用餐優惠 8.立體停車場停車費優惠 9.機車停車場(免費) 10.托兒(嬰)服務(托兒所、幼稚園、托嬰中心特約) 11.員工制服 
◆環境設備 
1.員工宿舍 2.員工餐廳 3.圖書館 4.哺乳室 5.籃球場 6.醫療服務專車 7.聖堂 8.桌球室 9.立體停車場 10.商店街 11.空中花園 12.國際會議廳 13.健康園區 14.有氧舞蹈空間 
◆休閒/育樂/關懷 
1.社團活動 2.特約商店 3.休閒藝文資訊 4.員工住院關懷 5.聖誕跨年晚會 6.資深員工表揚 7.多元健康促進活動 8.多元主題課程 9.員工身心靈關懷輔導與支持",彭先生,job@stm.org.tw,https://www.104.com.tw/job/6wf1z?jobsource=jolist_a_relevance
財團法人私立天主教中華聖母社會福利慈善事業基金會,勸募專員(基金會),"1.公關議題操作,媒體連繫、記者會規畫與操作、新聞稿撰寫 
2.公益行銷、企業募款提案、公益活動企劃及執行 
3.具數字分析能力及行銷企劃策略規劃能力。 
4.其他主管交辦事項 
5.應徵本職缺請先了解基金會服務內容，基金會網址http://www.solc.org.tw/
註：工作待遇欄位月薪為大學以上薪資且通過考核",['行政人員'],"月薪32,300元",全職,嘉義市民權路60號,不需負擔管理責任,無需出差外派,日班，08:00~17:00,依公司規定,一週內,1人,"['上班族', '原住民']",2年以上,大學,公共關係相關、大眾傳播學相關、新聞學相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,Excel、Internet Explorer、Outlook、PowerPoint、Word,文書處理軟體操作,對公益服務工作有熱忱自信，可獨立作業並融入團隊工作。,"◆獎金禮金類 
1.年終獎金 2.業績獎勵金 3.績效獎金 4.考核獎金 5.久任獎金 6.三節禮金 7.生日禮金 8.結婚禮金 9.生育禮金 10.奠儀 11.春節值班禮金 12.旅遊代金 13.提案獎金 
◆保險類 
1.勞工保險 2.全民健康保險 3.團體保險(職災險、意外傷害、癌症醫療等商業保險) 4.勞工退休金提撥 
◆學術獎勵 
1.新進人員職前訓練 2.在職教育訓練 3.在職進修 4.員工培訓 5.論文獎勵金 6.教學費用補助 
◆請/休假 
1.週休二日 2.特休假 3.陪產假 4.家庭照顧假5.妊娠假 6.哺乳假 7.生理假 8.天然災害假 9.事假 10.病假 11.公假 12.婚假 13.產假 14.公傷假 15.喪假 16.留職停薪 17.育嬰留職停薪 18.原住民假 
◆補助類 
1.員工及眷屬就醫優待 2.退休員工就醫優待 3.員工定期健康檢查(免費) 4.新進人員體檢優惠 5.員工健康檢查優惠 6.員工宿舍優惠 7.員工餐廳用餐優惠 8.立體停車場停車費優惠 9.機車停車場(免費) 10.托兒(嬰)服務(托兒所、幼稚園、托嬰中心特約) 11.員工制服 
◆環境設備 
1.員工宿舍 2.員工餐廳 3.圖書館 4.哺乳室 5.籃球場 6.醫療服務專車 7.聖堂 8.桌球室 9.立體停車場 10.商店街 11.空中花園 12.國際會議廳 13.健康園區 14.有氧舞蹈空間 
◆休閒/育樂/關懷 
1.社團活動 2.特約商店 3.休閒藝文資訊 4.員工住院關懷 5.聖誕跨年晚會 6.資深員工表揚 7.多元健康促進活動 8.多元主題課程 9.員工身心靈關懷輔導與支持",彭先生,job@stm.org.tw,https://www.104.com.tw/job/6aurj?jobsource=jolist_a_relevance
財團法人私立天主教中華聖母社會福利慈善事業基金會,行政助理(基金會_勸募公關組),"1.發票管理
2.行政庶務，包含物資管理運送、信件郵寄、內部傳送
3.復康巴士業務，包含資料歸檔、系統登錄、預約登記、新案通知
4.輔具服務，協助搬運、載送、回收、消毒、清潔
5.其他主管交辦事項
6..應徵本職缺請先了解基金會服務內容，基金會網址http://www.solc.org.tw/
註：工作待遇欄位月薪為大學以上薪資且通過考核","['行政助理', '行政人員']","月薪26,050元以上",全職,嘉義市民權路60號,不需負擔管理責任,無需出差外派,日班，08:00~17:30,依公司規定,兩週內,1人,"['上班族', '原住民']",不拘,大學,不拘,台語 -- 中等,Excel、Internet Explorer、Outlook、PowerPoint、Word,文書處理軟體操作,無,"◆獎金禮金類 
1.年終獎金 2.業績獎勵金 3.績效獎金 4.考核獎金 5.久任獎金 6.三節禮金 7.生日禮金 8.結婚禮金 9.生育禮金 10.奠儀 11.春節值班禮金 12.旅遊代金 13.提案獎金 
◆保險類 
1.勞工保險 2.全民健康保險 3.團體保險(職災險、意外傷害、癌症醫療等商業保險) 4.勞工退休金提撥 
◆學術獎勵 
1.新進人員職前訓練 2.在職教育訓練 3.在職進修 4.員工培訓 5.論文獎勵金 6.教學費用補助 
◆請/休假 
1.週休二日 2.特休假 3.陪產假 4.家庭照顧假5.妊娠假 6.哺乳假 7.生理假 8.天然災害假 9.事假 10.病假 11.公假 12.婚假 13.產假 14.公傷假 15.喪假 16.留職停薪 17.育嬰留職停薪 18.原住民假 
◆補助類 
1.員工及眷屬就醫優待 2.退休員工就醫優待 3.員工定期健康檢查(免費) 4.新進人員體檢優惠 5.員工健康檢查優惠 6.員工宿舍優惠 7.員工餐廳用餐優惠 8.立體停車場停車費優惠 9.機車停車場(免費) 10.托兒(嬰)服務(托兒所、幼稚園、托嬰中心特約) 11.員工制服 
◆環境設備 
1.員工宿舍 2.員工餐廳 3.圖書館 4.哺乳室 5.籃球場 6.醫療服務專車 7.聖堂 8.桌球室 9.立體停車場 10.商店街 11.空中花園 12.國際會議廳 13.健康園區 14.有氧舞蹈空間 
◆休閒/育樂/關懷 
1.社團活動 2.特約商店 3.休閒藝文資訊 4.員工住院關懷 5.聖誕跨年晚會 6.資深員工表揚 7.多元健康促進活動 8.多元主題課程 9.員工身心靈關懷輔導與支持",彭先生,05-2756000-1205,https://www.104.com.tw/job/6uzcd?jobsource=jolist_a_relevance
財團法人創世社會福利基金會,社工研究員,"1.稽核基金會社工及相關業務
2.需機動性高配合出差
3.社工相關科系畢","['社工人員', '社會／人類學研究人員', '稽核人員']","月薪36,000~42,000元",全職,台北市中正區,不需負擔管理責任,需出差，一年累積時間未定,日班，08:00~17:30(午休1.5H),週休二日,一個月內,1人,['上班族'],1年以上,大學以上,社會學相關,不拘,Excel、Outlook、PowerPoint、Word,不拘,"具身心障礙機構服務經驗為佳
具小型車駕照","◆ 獎金/禮劵類
1.工作考核獎金：端午.中秋.年終
2.激勵獎金(社區服務員/活動企劃人員)
3.端午.中秋.聖誕禮劵.開工紅包
4.護士節禮劵(護理照護人員)

◆ 保險類
1.勞保.健保.員工團保
2.意外險.旅平險
3.職災保險

◆ 休閒類
1.伙伴小群
2.慶生會
3.員工聯歡活動

◆ 制度類
1.完整的職涯規劃與訓練
2.順暢的升遷管道
3.良善的員工溝通管道(成立勞資會議.人事評議委員會.員工協調委員會)
4.成立員工福委會照顧員工

◆ 設備類
1.員工宿舍(出差借用)
2.員工餐廳(伙食團)
3.圖書館(智庫)
4.哺乳室

◆ 請/休假制度
1.週休二日(8:00-17:30 中午休息1.5H) ;護理人員輪三班 
2.其它假別依勞基法規定不另說明

◆ 福利類
1.結婚禮金
2.生育津貼
3.喪葬補助
4.重大傷病慰問
5.急難救助
6.員工之子女教育補助
7.育兒奶粉尿布補助
8.旅遊補助
9.退職金提撥 (賢能久任離職金)
10.健康檢查補助
11.鼓勵員工進修(外訓公假、公費補助)

◆ 其他
員工貸款 (無息購車貸款)",王小姐,無,https://www.104.com.tw/job/3xrs2?jobsource=jolist_a_relevance
財團法人私立天主教中華聖母社會福利慈善事業基金會,長照個管師/員(基金會_日照中心_水上),"1.推動執行『嘉義縣社區整體照顧服務計畫』，依照管專員擬定之照顧計畫，協助服務使用者協調及連結長照資源，落實照顧計畫、督導服務品質。
2.每月邀集資源單位召開工作聯繫會議或個案研討。
3.行政報表與工作紀錄填寫、專案經費之執行控管。
4.規劃及辦理年度教育訓練課程。
5.提供民眾(長照)諮詢並積極宣導長照服務。
6.應徵本職缺請先了解基金會服務內容，基金會網址http://www.solc.org.tw/
註：工作待遇欄位月薪為大學以上學歷具護理師證照且通過考核薪資。",['護理師及護士'],"月薪38,050~41,550元",全職,嘉義縣水上鄉民生村信義街1號,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1人,"['上班族', '原住民']",1年以上,大學,護理助產相關,英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂,不拘,不拘,護理師以具有居家或社區服務經驗者較佳，具有長照服務相關領域工作經驗1年。,"◆獎金禮金類 
1.年終獎金 2.業績獎勵金 3.績效獎金 4.考核獎金 5.久任獎金 6.三節禮金 7.生日禮金 8.結婚禮金 9.生育禮金 10.奠儀 11.春節值班禮金 12.旅遊代金 13.提案獎金 
◆保險類 
1.勞工保險 2.全民健康保險 3.團體保險(職災險、意外傷害、癌症醫療等商業保險) 4.勞工退休金提撥 
◆學術獎勵 
1.新進人員職前訓練 2.在職教育訓練 3.在職進修 4.員工培訓 5.論文獎勵金 6.教學費用補助 
◆請/休假 
1.週休二日 2.特休假 3.陪產假 4.家庭照顧假5.妊娠假 6.哺乳假 7.生理假 8.天然災害假 9.事假 10.病假 11.公假 12.婚假 13.產假 14.公傷假 15.喪假 16.留職停薪 17.育嬰留職停薪 18.原住民假 
◆補助類 
1.員工及眷屬就醫優待 2.退休員工就醫優待 3.員工定期健康檢查(免費) 4.新進人員體檢優惠 5.員工健康檢查優惠 6.員工宿舍優惠 7.員工餐廳用餐優惠 8.立體停車場停車費優惠 9.機車停車場(免費) 10.托兒(嬰)服務(托兒所、幼稚園、托嬰中心特約) 11.員工制服 
◆環境設備 
1.員工宿舍 2.員工餐廳 3.圖書館 4.哺乳室 5.籃球場 6.醫療服務專車 7.聖堂 8.桌球室 9.立體停車場 10.商店街 11.空中花園 12.國際會議廳 13.健康園區 14.有氧舞蹈空間 
◆休閒/育樂/關懷 
1.社團活動 2.特約商店 3.休閒藝文資訊 4.員工住院關懷 5.聖誕跨年晚會 6.資深員工表揚 7.多元健康促進活動 8.多元主題課程 9.員工身心靈關懷輔導與支持",彭先生,05-2756000-1205,https://www.104.com.tw/job/6snnr?jobsource=jolist_a_relevance
財團法人私立天主教中華聖母社會福利慈善事業基金會,居家照顧服務員(基金會),"1.執行居家服務業務（包含身體照顧與家務服務）。
2.個案每日生活記錄填寫，特殊狀況回報主責督導員。
3.配合參加單位安排在職教育訓練。
4.主管交辦事項。
5.應徵本職缺請先了解基金會服務內容，基金會網址http://www.solc.org.tw/",['照顧服務員'],時薪200元,全職,嘉義市,不需負擔管理責任,無需出差外派,日班,依公司規定,一個月內,1~5人,"['上班族', '原住民']",不拘,不拘,不拘,中文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,不拘,無,"◆獎金禮金類 
1.年終獎金 2.業績獎勵金 3.績效獎金 4.考核獎金 5.久任獎金 6.三節禮金 7.生日禮金 8.結婚禮金 9.生育禮金 10.奠儀 11.春節值班禮金 12.旅遊代金 13.提案獎金 
◆保險類 
1.勞工保險 2.全民健康保險 3.團體保險(職災險、意外傷害、癌症醫療等商業保險) 4.勞工退休金提撥 
◆學術獎勵 
1.新進人員職前訓練 2.在職教育訓練 3.在職進修 4.員工培訓 5.論文獎勵金 6.教學費用補助 
◆請/休假 
1.週休二日 2.特休假 3.陪產假 4.家庭照顧假5.妊娠假 6.哺乳假 7.生理假 8.天然災害假 9.事假 10.病假 11.公假 12.婚假 13.產假 14.公傷假 15.喪假 16.留職停薪 17.育嬰留職停薪 18.原住民假 
◆補助類 
1.員工及眷屬就醫優待 2.退休員工就醫優待 3.員工定期健康檢查(免費) 4.新進人員體檢優惠 5.員工健康檢查優惠 6.員工宿舍優惠 7.員工餐廳用餐優惠 8.立體停車場停車費優惠 9.機車停車場(免費) 10.托兒(嬰)服務(托兒所、幼稚園、托嬰中心特約) 11.員工制服 
◆環境設備 
1.員工宿舍 2.員工餐廳 3.圖書館 4.哺乳室 5.籃球場 6.醫療服務專車 7.聖堂 8.桌球室 9.立體停車場 10.商店街 11.空中花園 12.國際會議廳 13.健康園區 14.有氧舞蹈空間 
◆休閒/育樂/關懷 
1.社團活動 2.特約商店 3.休閒藝文資訊 4.員工住院關懷 5.聖誕跨年晚會 6.資深員工表揚 7.多元健康促進活動 8.多元主題課程 9.員工身心靈關懷輔導與支持",彭先生,job@stm.org.tw,https://www.104.com.tw/job/6wd0z?jobsource=jolist_a_relevance
