公司名稱,工作職稱,工作內容,職務類別,工作待遇,工作性質,上班地點,管理責任,出差外派,上班時段,休假制度,可上班日,需求人數,接受身份,工作經歷,學歷要求,科系要求,語文條件,擅長工具,工作技能,其他條件,公司福利,聯絡人,聯絡方式,連結路徑
社團法人雲林縣長期照護發展協會,護理之家護理師37000護士35000獎金夜班費另計,"長青護理之家護士:具護士或護理師証書、具呼吸照護病房RCW或呼吸照護中心RCC經驗佳, 小夜250/大夜500另計","['護理師及護士', '診所助理', '其他醫療人員']","月薪34,000~37,000元",全職,雲林縣崙背鄉大有村286號,不需負擔管理責任,無需出差外派,日班/晚班/大夜班/假日班，需輪班,依公司規定,不限,1人,['上班族'],1年以上,高中、專科,護理助產相關,台語 -- 中等,不拘,不拘,"小夜250/大夜500, 獎金另計",製服. 年節禮品 獎金. 長青員工宿舍.,楊小姐,longcare2000@yahoo.com.tw,https://www.104.com.tw/job/6i5ap?jobsource=jolist_c_relevance
社團法人雲林縣長期照護發展協會,養護中心護理師33000護士31000夜班獎金另計,"具護士或護理師証書;護士, 護理師,大夜500小夜250/天 , 獎金另計.","['護理師及護士', '診所助理', '其他醫療人員']",待遇面議 （經常性薪資達 4 萬元或以上）,全職,雲林縣斗六市府文路22號6樓,不需負擔管理責任,無需出差外派,日班/晚班/大夜班/假日班,依公司規定,兩週內,1人,"['上班族', '應屆畢業生', '中壯齡', '中高齡']",1年以上,高中以上,護理助產相關,不拘,不拘,不拘,"大夜500小夜250/天 , 獎金另計",製服. 年節禮品 獎金. 長青員工宿舍.,主任,longcare2000@yahoo.com.tw,https://www.104.com.tw/job/6i5aq?jobsource=jolist_c_relevance
社團法人雲林縣長期照護發展協會,養護中心看護,雲林縣身心障礙養護中心 看護，需具照服員受訓證書，學歷不拘。,"['教保員', '照顧服務員']","月薪30,000~31,000元",全職,雲林縣斗六市府文路22號6樓,不需負擔管理責任,需外派，一年累積時間未定,日班/晚班/大夜班/假日班，需輪班,依公司規定,不限,1人,"['上班族', '原住民', '二度就業']",不拘,高中以下,不拘,不拘,不拘,不拘,中華民國民,製服. 年節禮品 獎金. 長青員工宿舍.,賴主任,05-5334209,https://www.104.com.tw/job/6i5ar?jobsource=jolist_c_relevance
社團法人雲林縣長期照護發展協會,雲林縣身心障礙養護中心-社工,雲林縣身心障礙養護中心社工-限專科以上社會工作科系畢,['社工人員'],"月薪27,000~32,000元",全職,雲林縣斗六市府文路22號6樓,不需負擔管理責任,無需出差外派,日班，08:00-17:30,依公司規定,不限,1人,['上班族'],不拘,專科、大學,社會學相關,不拘,不拘,不拘,限社會工作科系畢,製服. 年節禮品 獎金. 長青員工宿舍.,賴主任,05-5334209,https://www.104.com.tw/job/6i5bi?jobsource=jolist_c_relevance
社團法人雲林縣長期照護發展協會,養護中心-看護8H,"雲林縣身心障礙養護中心- 看護（需有照服員受訓証照）學歷不拘,","['照顧服務員', '護理師及護士', '其他醫療人員']","月薪26,000元",全職,雲林縣斗六市府文路22號6樓,不需負擔管理責任,無需出差外派,日班/晚班/假日班，需輪班,依公司規定,不限,1人,"['上班族', '原住民', '二度就業', '中壯齡', '中高齡']",不拘,高中以下,不拘,不拘,不拘,不拘,"學歷不拘,工作經驗不拘, 
具照服員証照
夜班費另計",製服. 年節禮品 獎金. 長青員工宿舍.,關小姐,longcare2000@yahoo.com.tw,https://www.104.com.tw/job/6i5b8?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【創發中心】專案企畫執行,"1.執行公部門委辦專案，工作內容包括專案進度管理、文字撰寫、報告彙整、客戶溝通、行銷推廣、社群經營、專案業務相關之庶務工作，以及其他主管交辦事項。
2.具備企業經營基礎概念，並善與人互動溝通、服務熱誠。
3.需有1年以上實務工作經驗。","['活動企劃人員', '行銷企劃人員', '行政人員']","月薪32,000~35,000元",全職,台北市大安區羅斯福路二段95號26樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,兩週內,1人,"['上班族', '原住民']",1年以上,專科、大學、碩士,不拘,不拘,不拘,不拘,"1. 基本資料請填寫完整，並附上照片及自傳
2. 本會以運用知識服務力為主體，深信人才及知識為組織中之重要資產；而組織文化首重分享與共享
3. 請具備熱誠、創新及自律三要素
4.對農(林漁牧)業有相關實務經驗者佳。",依各專案規定提供相關福利,謝小姐,無,https://www.104.com.tw/job/6mvjo?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【行政組】活動企劃會務專員,"1.會務及專案活動企劃與執行
2.法定會議執行
3.政策性活動辦理
4.相關會議聯繫邀約
5.總會共同事務處理
6.其他主管交辦事項
7.需熟悉OFFICE文書應用軟體(word、excel、ppt) 
8.工作態度積極、抗壓力強、主動學習，善溝通協調","['活動企劃人員', '行銷企劃人員']","月薪32,888元",全職,台北市大安區羅斯福路二段95號6樓,不需負擔管理責任,無需出差外派,日班,依公司規定,兩週內,1人,['上班族'],不拘,大學、碩士,不拘,英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等,不拘,文書處理╱排版能力、提案與簡報技巧、行銷宣傳預算編製與控管、公關活動規劃與執行,無,依各專案規定提供相關福利,盧小姐,無,https://www.104.com.tw/job/4xhlt?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【創輔中心】創業輔導員(上班地點：新北市政府就業服務處),"1.創業課程及活動規劃與辦理(主題規劃、講者邀約、辦課及課後資料建檔與彙整等)。
2.創業顧問諮詢輔導安排、派案及聯繫等。
3.幸福創業微利貸款申請受理、輔導與審查作業。
4.輔導個案追蹤關懷及訪視等(含幸福餐車)。
5.計畫行銷與宣導推廣、記者會、獲貸者座談會等規劃與辦理。
6.資料統計與回報、文書行政、電話諮詢服務等庶務處理。
7.其他臨時交辦事項。","['行政人員', '其他專案管理師', '活動企劃人員']","月薪32,000~33,000元",全職,新北市中和區景安路155號,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班，08:30-17:30,週休二日,兩週內,1人,"['上班族', '應屆畢業生', '原住民', '二度就業']",3年以上,大學、碩士,大眾傳播學相關、商業及管理學科類、經濟學相關,台語 -- 中等,Excel、PowerPoint、Word、Adobe Photoshop,不拘,"1.須配合計畫執行與出差。
2.熟悉MS-OFFICE文書處理及網際網路之運用。
3.具服務熱忱，認真負責且獨力，喜歡與人接觸及團隊合作。
4.個性大方，EQ佳且善於溝通協調。
5.具備政府計畫執行經驗或曾派任公部門服務者尤佳。",依各專案規定提供相關福利,江小姐,"meggie_chiang@nasme.org.tw,ray_ho@nasme.org.tw",https://www.104.com.tw/job/6v2c6?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【企資中心】勞動力發展署-外國人案件審查業務佐理員,"1.派駐勞動部勞動力發展署辦理白領或藍領外勞聘僱案件審查及電話接聽。 
2.純內勤庶務性工作，工作環境單純，備有教育訓練。 
3.最近一年內不得有私立就服機構及其分支機構(外勞仲介公司)任職經歷，以勞保投保單位認定，錄取前須提供個人勞保紀錄。
4.需有耐心及良好學習能力，能適應團隊生活，具公文撰寫能力或公部門服務經驗佳。","['行政人員', '其他客戶服務人員']","月薪27,000~28,000元",全職,台北市中正區中華路一段39號 (近西門站),不需負擔管理責任,無需出差外派,日班，08:30~17:30,週休二日,可年後上班,1~2人,"['上班族', '應屆畢業生', '原住民', '二度就業', '歡迎肢體障礙(軀幹)(輕度)、顏面損傷(輕度)的身心障礙人士']",不拘,專科、大學、碩士,不拘,不拘,Windows 7、Excel、Word、中文打字20~50,不拘,"1.一年內未從事外勞仲介相關業務、 無違反就業服務法紀錄。
2.專科以上學歷(面試時請提供畢業證書影本)  ,須通過電腦打字測驗(每分鐘15字以上,錯誤率10%以下)。
3.派駐勞動部勞動力發展署，依規定進行外國人申請案件審查及電話接聽，須工作細心且具備良好的電話禮儀，並能自我管理及配合主管處理行政事宜。",依各專案規定提供相關福利,陳經理,kathy_chen@nasme.org.tw,https://www.104.com.tw/job/4b5e6?jobsource=jolist_c_relevance
社團法人中華民國全國中小企業總會,【創發中心】專案企畫執行(企業輔導類),"1.負責執行公部門委辦企業輔導類專案。
2.具備企業經營基礎概念，並善與人互動溝通、服務熱誠。
3.工作內容包括企劃提案、文字撰寫、報告彙整、企業溝通、專案業務相關之庶務工作及其他主管臨時交辦事項。
4.需1年以上相關工作經驗。","['其他專案管理師', '顧問人員']","月薪33,000~36,000元",全職,台北市大安區羅斯福路二段95號26樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,兩週內,1人,"['上班族', '原住民']",1年以上,專科、大學、碩士,不拘,不拘,不拘,不拘,"1. 基本資料請填寫完整，並附上照片及自傳
2. 本會以運用知識服務力為主體，深信人才及知識為組織中之重要資產；而組織文化首重分享與共享
3. 請具備熱誠、創新及自律三要素
4.擁有2年以上企業輔導類政府專案執行經驗者優先約談。",依各專案規定提供相關福利,謝小姐,無,https://www.104.com.tw/job/63j4y?jobsource=jolist_c_relevance
